,id,cost,model_number,model_year,color,mileage,guarantee_period,store_id
0,2100006155617,118000,JBH-AF67,2012.0,黒,2742.0,0.25,51
1,2100004366077,1378000,EBL-NC42,2019.0,黒,776.0,5.0,2
2,2100005457217,348000,JBK-ER250C,2013.0,白,11979.0,1.0,58
4,2100005346689,568000,JUE4,2021.0,黒,5688.0,5.0,81
7,2100005410144,458000,JBK-RG10J,2019.0,青,27167.0,1.0,37
10,2100005566087,628000,A-AC12,1993.0,赤,4330.0,0.0833333333333333,6
11,2100005943543,204000,BB-SA10J,2018.0,黒,1468.0,1.0,62
12,2100005724951,515000,ER650A,2013.0,緑,17306.0,1.0,72
13,2100005658669,239000,2BH-AA09,2018.0,緑,66.0,1.0,66
14,2100005885829,328000,2BJ-JA44,2019.0,赤,1034.0,1.0,7
15,2100006021950,2548000,EBL-FD8,2017.0,黒,3137.0,3.0,77
16,2100005754453,298000,2BJ-DL33B,2021.0,黒,16234.0,0.25,9
17,2100006180909,338000,2BK-SG52J,2018.0,黒,2972.0,5.0,16
18,2100005890151,498000,EBL-NC47,2013.0,赤,22007.0,1.0,5
20,2100004863958,838000,BC-EJ650A,2005.0,青,26929.0,0.25,35
21,2100004028838,499000,2BJ-JA55,2020.0,赤,113.0,1.0,44
22,2100004464841,828000,SC50,2002.0,黄,18764.0,0.0833333333333333,35
24,2100006147780,728000,2BL-RH16J,2021.0,青,3898.0,7.0,46
25,2100005878821,1568000,2BL-DHJ1200,2023.0,黒,1979.0,7.0,34
26,2100006243147,556000,ZXT00C,2004.0,緑,35873.0,0.25,67
27,2100005087742,698000,2BL-PC60,2017.0,銀,416.0,3.0,26
29,2100006195934,200000,JBH-AA01,2008.0,黒,4861.0,0.25,5
30,2100006111866,1713640,2BL-ZR900C,2018.0,緑,1827.0,5.0,80
31,2100006078046,798000,BC-EJ650A,2007.0,黒,27156.0,0.25,9
32,2100005005890,390500,BJHD1,2022.0,黒,0.0,7.0,73
33,2100004202351,1100000,3XC,1990.0,黒,18288.0,0.0833333333333333,6
34,2100005575324,328000,2BK-SG50J,2017.0,赤,6265.0,3.0,59
35,2100005507820,728000,JBH-AB27,2016.0,茶,3213.0,0.25,36
36,2100005334266,2048000,2BL-XL3,2020.0,黒,4009.0,5.0,53
40,2100005660686,1528000,8BL-RH4,2021.0,茶,1150.0,7.0,54
41,2100006213539,728000,2BL-RH16J,2021.0,銀,2343.0,7.0,71
44,2100005899932,678000,EBL-CP52A,2013.0,銀,15804.0,1.0,61
46,2100006288551,1388000,2BL-NC42,2019.0,青,3545.0,5.0,72
47,2100006095340,388000,EBL-EX400E,2014.0,黒,21019.0,1.0,72
48,2100006076943,398000,JBK-RG10J,2017.0,銀,10732.0,3.0,37
50,2100004827929,148000,JBH-SA39J,2015.0,赤,11650.0,0.25,6
51,2100005951531,898000,BC-RC42,2008.0,赤,37956.0,0.25,15
56,2100005677745,888000,2BL-NC42,2014.0,青,5857.0,1.0,74
58,2100005898690,2980000,EBL-FLN,2016.0,赤,17738.0,3.0,48
60,2100005552462,338000,2BJ-JC79,2018.0,赤,8530.0,0.25,79
61,2100005227834,558000,EBL-RC63,2012.0,赤,9840.0,0.25,36
62,2100005904469,1988000,YNJ,2018.0,黒,651.0,5.0,2
63,2100005185097,568000,2BL-DU11A,2019.0,青,6038.0,5.0,33
64,2100005694636,280000,BC-CK44A,2008.0,白,10947.0,0.25,44
65,2100006073997,1428000,2BL-ZR900C,2018.0,緑,10580.0,3.0,60
